Event,Division,Sex,Year,Points
Discus,NCAA D-I,Men,2019,990
Discus,NCAA D-I,Men,2021,994
Discus,NCAA D-I,Men,2022,1017
Discus,NCAA D-I,Men,2023,1019
Discus,NCAA D-I,Men,2024,926
Discus,NCAA D-I,Women,2010,902
Discus,NCAA D-I,Women,2011,912
Discus,NCAA D-I,Women,2012,921
Discus,NCAA D-I,Women,2013,927
Discus,NCAA D-I,Women,2014,937
Discus,NCAA D-I,Women,2015,944
Discus,NCAA D-I,Women,2016,942
Discus,NCAA D-I,Women,2017,942
Discus,NCAA D-I,Women,2018,952
Discus,NCAA D-I,Women,2019,950
Discus,NCAA D-I,Women,2021,964
Discus,NCAA D-I,Women,2022,966
Discus,NCAA D-I,Women,2023,970
Discus,NCAA D-I,Women,2024,864
Discus,NCAA D-II,Men,2010,847
Discus,NCAA D-II,Men,2011,862
Discus,NCAA D-II,Men,2012,856
Discus,NCAA D-II,Men,2013,867
Discus,NCAA D-II,Men,2014,858
Discus,NCAA D-II,Men,2015,871
Discus,NCAA D-II,Men,2016,867
Discus,NCAA D-II,Men,2017,871
Discus,NCAA D-II,Men,2018,878
Discus,NCAA D-II,Men,2019,884
Discus,NCAA D-II,Men,2021,884
Discus,NCAA D-II,Men,2022,885
Discus,NCAA D-II,Men,2023,880
Discus,NCAA D-II,Women,2010,740
Discus,NCAA D-II,Women,2011,765
Discus,NCAA D-II,Women,2012,782
Discus,NCAA D-II,Women,2013,773
Discus,NCAA D-II,Women,2014,780
Discus,NCAA D-II,Women,2015,793
Discus,NCAA D-II,Women,2016,796
Discus,NCAA D-II,Women,2017,806
Discus,NCAA D-II,Women,2018,813
Discus,NCAA D-II,Women,2019,821
Discus,NCAA D-II,Women,2021,805
Discus,NCAA D-II,Women,2022,798
Discus,NCAA D-II,Women,2023,790
Discus,NCAA D-III,Men,2010,833
Discus,NCAA D-III,Men,2011,837
Discus,NCAA D-III,Men,2012,838
Discus,NCAA D-III,Men,2013,831
Discus,NCAA D-III,Men,2014,825
Discus,NCAA D-III,Men,2015,832
Discus,NCAA D-III,Men,2016,822
Discus,NCAA D-III,Men,2017,833
Discus,NCAA D-III,Men,2018,837
Discus,NCAA D-III,Men,2019,834
Discus,NCAA D-III,Men,2021,816
Discus,NCAA D-III,Men,2022,830
Discus,NCAA D-III,Men,2023,836
Discus,NCAA D-III,Women,2010,713
Discus,NCAA D-III,Women,2011,729
Discus,NCAA D-III,Women,2012,731
Discus,NCAA D-III,Women,2013,723
Discus,NCAA D-III,Women,2014,729
Discus,NCAA D-III,Women,2015,737
Discus,NCAA D-III,Women,2016,749
Discus,NCAA D-III,Women,2017,745
Discus,NCAA D-III,Women,2018,743
Discus,NCAA D-III,Women,2019,741
Discus,NCAA D-III,Women,2021,730
Discus,NCAA D-III,Women,2022,739
Discus,NCAA D-III,Women,2023,749
Discus,World,Men,2010,1119
Discus,World,Men,2011,1125
Discus,World,Men,2012,1136
Discus,World,Men,2013,1122
Discus,World,Men,2014,1124
Discus,World,Men,2015,1120
Discus,World,Men,2016,1134
Discus,World,Men,2017,1122
Discus,World,Men,2018,1123
Discus,World,Men,2019,1122
Discus,World,Men,2021,1131
Discus,World,Men,2022,1128
Discus,World,Men,2023,1134
Discus,World,Women,2010,1056
Discus,World,Women,2011,1067
Discus,World,Women,2012,1083
Discus,World,Women,2013,1068
Discus,World,Women,2014,1068
Discus,World,Women,2015,1073
Discus,World,Women,2016,1083
Discus,World,Women,2017,1069
Discus,World,Women,2018,1064
Discus,World,Women,2019,1074
Discus,World,Women,2021,1087
Discus,World,Women,2022,1071
Discus,World,Women,2023,1075
High Jump,Kansas 1A,Men,2010,668
High Jump,Kansas 1A,Men,2011,726
High Jump,Kansas 1A,Men,2012,646
High Jump,Kansas 1A,Men,2013,670
High Jump,Kansas 1A,Men,2014,663
High Jump,Kansas 1A,Men,2015,647
High Jump,Kansas 1A,Men,2016,667
High Jump,Kansas 1A,Men,2017,658
High Jump,Kansas 1A,Men,2018,651
High Jump,Kansas 1A,Men,2019,644
High Jump,Kansas 1A,Men,2021,654
High Jump,Kansas 1A,Men,2022,669
High Jump,Kansas 1A,Men,2023,655
High Jump,Kansas 1A,Women,2010,621
High Jump,Kansas 1A,Women,2011,667
High Jump,Kansas 1A,Women,2012,657
High Jump,Kansas 1A,Women,2013,628
High Jump,Kansas 1A,Women,2014,639
High Jump,Kansas 1A,Women,2015,607
High Jump,Kansas 1A,Women,2016,639
High Jump,Kansas 1A,Women,2017,648
High Jump,Kansas 1A,Women,2018,649
High Jump,Kansas 1A,Women,2019,623
High Jump,Kansas 1A,Women,2021,607
High Jump,Kansas 1A,Women,2022,636
High Jump,Kansas 1A,Women,2023,649
High Jump,Kansas 3A,Men,2010,683
High Jump,Kansas 3A,Men,2011,709
High Jump,Kansas 3A,Men,2012,652
High Jump,Kansas 3A,Men,2013,659
High Jump,Kansas 3A,Men,2014,670
High Jump,Kansas 3A,Men,2015,667
High Jump,Kansas 3A,Men,2016,670
High Jump,Kansas 3A,Men,2017,668
High Jump,Kansas 3A,Men,2018,681
High Jump,Kansas 3A,Men,2019,651
High Jump,Kansas 3A,Men,2021,669
High Jump,Kansas 3A,Men,2022,680
High Jump,Kansas 3A,Men,2023,655
High Jump,Kansas 3A,Women,2010,670
High Jump,Kansas 3A,Women,2011,693
High Jump,Kansas 3A,Women,2012,655
High Jump,Kansas 3A,Women,2013,643
High Jump,Kansas 3A,Women,2014,638
High Jump,Kansas 3A,Women,2015,639
High Jump,Kansas 3A,Women,2016,631
High Jump,Kansas 3A,Women,2017,648
High Jump,Kansas 3A,Women,2018,661
High Jump,Kansas 3A,Women,2019,640
High Jump,Kansas 3A,Women,2021,626
High Jump,Kansas 3A,Women,2022,661
High Jump,Kansas 3A,Women,2023,672
High Jump,Kansas 6A,Men,2010,714
High Jump,Kansas 6A,Men,2011,696
High Jump,Kansas 6A,Men,2012,725
High Jump,Kansas 6A,Men,2013,699
High Jump,Kansas 6A,Men,2014,712
High Jump,Kansas 6A,Men,2015,679
High Jump,Kansas 6A,Men,2016,695
High Jump,Kansas 6A,Men,2017,724
High Jump,Kansas 6A,Men,2018,697
High Jump,Kansas 6A,Men,2019,698
High Jump,Kansas 6A,Men,2021,683
High Jump,Kansas 6A,Men,2022,704
High Jump,Kansas 6A,Men,2023,705
High Jump,Kansas 6A,Women,2010,693
High Jump,Kansas 6A,Women,2011,689
High Jump,Kansas 6A,Women,2012,670
High Jump,Kansas 6A,Women,2013,671
High Jump,Kansas 6A,Women,2014,677
High Jump,Kansas 6A,Women,2015,679
High Jump,Kansas 6A,Women,2016,690
High Jump,Kansas 6A,Women,2017,672
High Jump,Kansas 6A,Women,2018,681
High Jump,Kansas 6A,Women,2019,667
High Jump,Kansas 6A,Women,2021,668
High Jump,Kansas 6A,Women,2022,654
High Jump,Kansas 6A,Women,2023,648
High Jump,NAIA,Men,2010,862
High Jump,NAIA,Men,2011,890
High Jump,NAIA,Men,2012,887
High Jump,NAIA,Men,2013,886
High Jump,NAIA,Men,2014,893
High Jump,NAIA,Men,2015,887
High Jump,NAIA,Men,2016,867
High Jump,NAIA,Men,2017,878
High Jump,NAIA,Men,2018,876
High Jump,NAIA,Men,2019,894
High Jump,NAIA,Men,2021,881
High Jump,NAIA,Men,2022,889
High Jump,NAIA,Men,2023,887
High Jump,NAIA,Women,2010,805
High Jump,NAIA,Women,2011,829
High Jump,NAIA,Women,2012,824
High Jump,NAIA,Women,2013,826
High Jump,NAIA,Women,2014,838
High Jump,NAIA,Women,2015,826
High Jump,NAIA,Women,2016,828
High Jump,NAIA,Women,2017,807
High Jump,NAIA,Women,2018,824
High Jump,NAIA,Women,2019,837
High Jump,NAIA,Women,2021,829
High Jump,NAIA,Women,2022,844
High Jump,NAIA,Women,2023,830
High Jump,NCAA D-I,Men,2010,1033
High Jump,NCAA D-I,Men,2011,1041
High Jump,NCAA D-I,Men,2012,1045
High Jump,NCAA D-I,Men,2013,1044
High Jump,NCAA D-I,Men,2014,1043
High Jump,NCAA D-I,Men,2015,1037
High Jump,NCAA D-I,Men,2016,1050
High Jump,NCAA D-I,Men,2017,1039
High Jump,NCAA D-I,Men,2018,1052
High Jump,NCAA D-I,Men,2019,1044
High Jump,NCAA D-I,Men,2021,1044
High Jump,NCAA D-I,Men,2022,1041
High Jump,NCAA D-I,Men,2023,1031
High Jump,NCAA D-I,Men,2024,922
High Jump,NCAA D-I,Women,2010,1001
High Jump,NCAA D-I,Women,2011,1000
High Jump,NCAA D-I,Women,2012,1009
High Jump,NCAA D-I,Women,2013,1009
High Jump,NCAA D-I,Women,2014,1006
High Jump,NCAA D-I,Women,2015,1015
High Jump,NCAA D-I,Women,2016,1003
High Jump,NCAA D-I,Women,2017,1001
High Jump,NCAA D-I,Women,2018,1008
High Jump,NCAA D-I,Women,2019,1003
High Jump,NCAA D-I,Women,2021,1009
High Jump,NCAA D-I,Women,2022,1017
High Jump,NCAA D-I,Women,2023,1011
High Jump,NCAA D-I,Women,2024,909
High Jump,NCAA D-II,Men,2010,927
High Jump,NCAA D-II,Men,2011,936
High Jump,NCAA D-II,Men,2012,941
High Jump,NCAA D-II,Men,2013,929
High Jump,NCAA D-II,Men,2014,936
High Jump,NCAA D-II,Men,2015,940
High Jump,NCAA D-II,Men,2016,950
High Jump,NCAA D-II,Men,2017,943
High Jump,NCAA D-II,Men,2018,951
High Jump,NCAA D-II,Men,2019,946
High Jump,NCAA D-II,Men,2021,927
High Jump,NCAA D-II,Men,2022,955
High Jump,NCAA D-II,Men,2023,954
High Jump,NCAA D-II,Women,2010,878
High Jump,NCAA D-II,Women,2011,886
High Jump,NCAA D-II,Women,2012,908
High Jump,NCAA D-II,Women,2013,899
High Jump,NCAA D-II,Women,2014,883
High Jump,NCAA D-II,Women,2015,898
High Jump,NCAA D-II,Women,2016,899
High Jump,NCAA D-II,Women,2017,903
High Jump,NCAA D-II,Women,2018,896
High Jump,NCAA D-II,Women,2019,902
High Jump,NCAA D-II,Women,2021,896
High Jump,NCAA D-II,Women,2022,912
High Jump,NCAA D-II,Women,2023,889
High Jump,NCAA D-III,Men,2010,893
High Jump,NCAA D-III,Men,2011,903
High Jump,NCAA D-III,Men,2012,912
High Jump,NCAA D-III,Men,2013,906
High Jump,NCAA D-III,Men,2014,912
High Jump,NCAA D-III,Men,2015,911
High Jump,NCAA D-III,Men,2016,900
High Jump,NCAA D-III,Men,2017,914
High Jump,NCAA D-III,Men,2018,919
High Jump,NCAA D-III,Men,2019,917
High Jump,NCAA D-III,Men,2021,896
High Jump,NCAA D-III,Men,2022,903
High Jump,NCAA D-III,Men,2023,901
High Jump,NCAA D-III,Women,2010,850
